2021-06-15 20:00:01 | /errorHandler.js(30) | EU3RZAj67fcwMCryZtdkwC7C6pCCYu8F | [info] | IP - 10.0.4.121 | clientIP - 10.0.4.121 | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-21","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-15 20:00:01 | /errorHandler.js(30) | j5TD0mbN40D1sGFK5XeJBtqgb3gj41zC | [info] | IP - 10.0.4.135 | clientIP - 10.0.4.135 | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-26","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-15 20:00:01 | /errorHandler.js(30) | N7Zob4Ea4luBOCDARRYlY5DAyVGawtSR | [info] | IP - 10.0.3.157 | clientIP - 10.0.3.157 | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-24","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-15 20:00:02 | /errorHandler.js(30) | KcxlD5b1rvy6uaihaYQx2P2PnWtsKfnV | [info] | IP - 10.0.3.157 | clientIP - 10.0.3.157 | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-16","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-15 20:00:04 | /errorHandler.js(30) | lItZ9A0yF4ZnsuABTW4OPrM7vsYbh0KG | [info] | IP - 10.0.3.157 | clientIP - 10.0.3.157 | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-28","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-15 20:00:04 | /errorHandler.js(30) | UgNuEqC0e6Ixx4V2mKZ2SgdprdQIDR1F | [info] | IP - ::ffff:10.0.3.157 | clientIP - ::ffff:10.0.3.157 | URL : http://10.0.3.210:2001/health | GET | Request : {}
2021-06-15 20:00:06 | /errorHandler.js(30) | c6LHuT3cHYPihR7IfxzznpVZNiTm2wjy | [info] | IP - 10.0.4.121 | clientIP - 10.0.4.121 | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-29","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-15 20:00:06 | /errorHandler.js(30) | c6LHuT3cHYPihR7IfxzznpVZNiTm2wjy | [info] | IP - 10.0.4.121 | clientIP - 10.0.4.121 | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-18","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-15 20:00:06 | /errorHandler.js(30) | 3jsr2Qs1FxpTZjDoigzyyBw9pdxQUPkO | [info] | IP - 10.0.4.121 | clientIP - 10.0.4.121 | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-23","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-15 20:00:06 | /errorHandler.js(30) | iGvhGoghZsa70sMGmwXMBlEEVQ0DlOwh | [info] | IP - 10.0.4.135 | clientIP - 10.0.4.135 | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-30","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-15 20:00:07 | /errorHandler.js(30) | o0ZYbMcqpbQNY8qFWmng1vBI5JCJh23L | [info] | IP - 10.0.3.157 | clientIP - 10.0.3.157 | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-25","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-15 20:00:08 | /errorHandler.js(30) | IhYoQlEMOTYySyl4I1mkT2y5tOzWmPWb | [info] | IP - 10.0.3.157 | clientIP - 10.0.3.157 | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-16","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-15 20:00:08 | /errorHandler.js(30) | iouSbKr8YRXVnsAhvOUCjj75OHvYIpEA | [info] | IP - 10.0.3.157 | clientIP - 10.0.3.157 | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-16","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-15 20:00:08 | /errorHandler.js(30) | 0tPGXIPBRwBG4IfjSeJ9wSg4upnLQOwc | [info] | IP - 10.0.3.157 | clientIP - 10.0.3.157 | URL : http://apis.mdnius.com/api/v1/public/getPatientsList?page=4&size=10&appointmentDateStart=2021-07-01&appointmentDateEnd=2021-07-01&clinicId=609be7f8f132c1001fb007c4 | GET | Request : {"page":"4","size":"10","appointmentDateStart":"2021-07-01","appointmentDateEnd":"2021-07-01","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-15 20:00:09 | /errorHandler.js(30) | rBjxsNUuMQK2wkI4JTxEd5ToM5Hox39I | [info] | IP - 10.0.3.157 | clientIP - 10.0.3.157 | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-28","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-15 20:00:10 | /errorHandler.js(30) | jFzddNCbla1pjRX9HaNNt9l93d6sg9zt | [info] | IP - 10.0.4.135 | clientIP - 10.0.4.135 | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-23","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-15 20:00:10 | /errorHandler.js(30) | cT41sFHU7smpJuC93qv8l0DxG89HfKKx | [info] | IP - 10.0.3.157 | clientIP - 10.0.3.157 | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-26","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-15 20:00:11 | /errorHandler.js(30) | UTjpFxmfjaTcWodIQj56vYTEI13JWsjs | [info] | IP - 10.0.4.121 | clientIP - 10.0.4.121 | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-18","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-15 20:00:11 | /errorHandler.js(30) | UTjpFxmfjaTcWodIQj56vYTEI13JWsjs | [info] | IP - 10.0.4.121 | clientIP - 10.0.4.121 | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-07-13","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-15 20:00:11 | /errorHandler.js(30) | t1kFYVOIS7JO5g3H3al6jCy6FjNdQv5j | [info] | IP - 10.0.4.121 | clientIP - 10.0.4.121 | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-07-01","clinicId":"609be7f8f132c1001fb007c4"}
